S.No,METEOROLOGICAL STATES,DAILY_ACTUAL(mm),DAILY_NORMAL(mm),DAILY_%DEP.,DAILY_CAT.,PERIOD_ACTUAL(mm),PERIOD_NORMAL(mm),PERIOD_%DEP.,PERIOD_CAT.
1,ARUNACHAL PRADESH,8.2,17.2,-53,D,413.5,848.1,-51,D
2,ASSAM,16.5,12.1,36,E,548,747.4,-27,D
3,MEGHALAYA,8.7,28.1,-69,LD,644.8,1387.4,-54,D
4,NAGALAND,6.6,10.7,-38,D,286.2,476.5,-40,D
5,MANIPUR,13,8,62,LE,197.6,500.8,-61,LD
6,MIZORAM,11.8,13.3,-11,N,580.1,722.5,-20,D
7,TRIPURA,4.7,15.2,-69,LD,653.6,701,-7,N
8,SIKKIM,14.2,17.5,-19,N,858.9,778.2,10,N
9,WEST BENGAL,18.2,17,7,N,608.3,588.3,3,N
10,JHARKHAND,17.1,11.5,49,E,279.7,414.9,-33,D
11,BIHAR,4.4,8.7,-49,D,255.3,414.4,-38,D
1,UTTAR PRADESH,6,8.1,-25,D,232.6,283.2,-18,N
2,UTTARAKHAND,20.4,13.9,47,E,448.9,466.1,-4,N
3,HARYANA,8.8,6.9,27,E,127.2,161.3,-21,D
4,CHANDIGARH (UT),4.4,10.6,-59,D,243.9,344,-29,D
5,DELHI (UT),9.3,10.9,-14,N,178.5,197.8,-10,N
6,PUNJAB,9.8,5.6,76,LE,105.4,168.3,-37,D
7,HIMACHAL PRADESH,14.6,9,62,LE,250.3,275.4,-9,N
8,JAMMU & KASHMIR (UT),40.3,7.9,410,LE,221.5,198.4,12,N
9,LADAKH (UT),2.9,0.7,316,LE,24.3,9.9,146,LE
10,RAJASTHAN,10.3,6.6,56,E,119.6,161.4,-26,D
1,ODISHA,36.8,14.7,150,LE,524.7,448.9,17,N
2,MADHYA PRADESH,20.7,12.4,67,LE,307.4,347.7,-12,N
3,GUJARAT,14.6,8.1,80,LE,205.4,285.8,-28,D
4,DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),225.8,33,584,LE,1326.6,1004,32,E
5,GOA,35.1,37.2,-6,N,1036.5,1668.6,-38,D
6,MAHARASHTRA,29.5,10.3,186,LE,402.7,434.8,-7,N
7,CHHATTISGARH,32.6,15.4,112,LE,380.6,451.4,-16,N
1,ANDAMAN & NICOBAR ISLANDS (UT),1.6,11.6,-86,LD,769.3,687.4,12,N
2,ANDHRA PRADESH,1.7,5.1,-67,LD,125.5,184.2,-32,D
3,TELANGANA,8.5,6.8,25,E,211.6,276.9,-24,D
4,TAMILNADU,0,2.2,-99,LD,90.4,97.6,-7,N
5,PUDUCHERRY (UT),0,2.8,-99,LD,61.4,125.6,-51,D
6,KARNATAKA,5.5,8.7,-37,D,282.9,379.6,-25,D
7,KERALA,4.6,17.6,-74,LD,731.1,1124.2,-35,D
8,LAKSHADWEEP (UT),3.1,6.5,-53,D,381.4,551.7,-31,D
